date,visitors,year,month,day,day_of_week,is_weekend
2015-01-01,1802,2015,1,1,목,False
2015-01-02,16071,2015,1,2,금,False
2015-01-03,20546,2015,1,3,토,True
2015-01-04,17661,2015,1,4,일,True
2015-01-05,140,2015,1,5,월,False
2015-01-06,10927,2015,1,6,화,False
2015-01-07,11343,2015,1,7,수,False
2015-01-08,11208,2015,1,8,목,False
2015-01-09,11468,2015,1,9,금,False
2015-01-10,21101,2015,1,10,토,True
2015-01-11,19836,2015,1,11,일,True
2015-01-12,270,2015,1,12,월,False
2015-01-13,9372,2015,1,13,화,False
2015-01-14,9514,2015,1,14,수,False
2015-01-15,9904,2015,1,15,목,False
2015-01-16,9876,2015,1,16,금,False
2015-01-17,21109,2015,1,17,토,True
2015-01-18,19433,2015,1,18,일,True
2015-01-19,101,2015,1,19,월,False
2015-01-20,10644,2015,1,20,화,False
2015-01-21,10451,2015,1,21,수,False
2015-01-22,10503,2015,1,22,목,False
2015-01-23,10135,2015,1,23,금,False
2015-01-24,19879,2015,1,24,토,True
2015-01-25,17521,2015,1,25,일,True
2015-01-26,75,2015,1,26,월,False
2015-01-27,7438,2015,1,27,화,False
2015-01-28,9844,2015,1,28,수,False
2015-01-29,6736,2015,1,29,목,False
2015-01-30,6085,2015,1,30,금,False
2015-01-31,14608,2015,1,31,토,True
2015-02-01,12638,2015,2,1,일,True
2015-02-02,120,2015,2,2,월,False
2015-02-03,5989,2015,2,3,화,False
2015-02-04,6214,2015,2,4,수,False
2015-02-05,5964,2015,2,5,목,False
2015-02-06,5139,2015,2,6,금,False
2015-02-07,12762,2015,2,7,토,True
2015-02-08,11523,2015,2,8,일,True
2015-02-09,420,2015,2,9,월,False
2015-02-10,3452,2015,2,10,화,False
2015-02-11,3903,2015,2,11,수,False
2015-02-12,3620,2015,2,12,목,False
2015-02-13,3878,2015,2,13,금,False
2015-02-14,13085,2015,2,14,토,True
2015-02-15,11103,2015,2,15,일,True
2015-02-16,25,2015,2,16,월,False
2015-02-17,4531,2015,2,17,화,False
2015-02-18,7541,2015,2,18,수,False
2015-02-19,13794,2015,2,19,목,False
2015-02-20,19797,2015,2,20,금,False
2015-02-21,15733,2015,2,21,토,True
2015-02-22,11630,2015,2,22,일,True
2015-02-23,0,2015,2,23,월,False
2015-02-24,7871,2015,2,24,화,False
2015-02-25,10356,2015,2,25,수,False
2015-02-26,8556,2015,2,26,목,False
2015-02-27,7636,2015,2,27,금,False
2015-02-28,14426,2015,2,28,토,True
2015-03-01,8722,2015,3,1,일,True
2015-03-02,200,2015,3,2,월,False
2015-03-03,3675,2015,3,3,화,False
2015-03-04,3907,2015,3,4,수,False
2015-03-05,3357,2015,3,5,목,False
2015-03-06,3411,2015,3,6,금,False
2015-03-07,11285,2015,3,7,토,True
2015-03-08,9536,2015,3,8,일,True
2015-03-09,125,2015,3,9,월,False
2015-03-10,3132,2015,3,10,화,False
2015-03-11,3680,2015,3,11,수,False
2015-03-12,3811,2015,3,12,목,False
2015-03-13,2910,2015,3,13,금,False
2015-03-14,11690,2015,3,14,토,True
2015-03-15,10319,2015,3,15,일,True
2015-03-16,0,2015,3,16,월,False
2015-03-17,3137,2015,3,17,화,False
2015-03-18,3979,2015,3,18,수,False
2015-03-19,4681,2015,3,19,목,False
2015-03-20,4333,2015,3,20,금,False
2015-03-21,14239,2015,3,21,토,True
2015-03-22,11983,2015,3,22,일,True
2015-03-23,0,2015,3,23,월,False
2015-03-24,4199,2015,3,24,화,False
2015-03-25,7406,2015,3,25,수,False
2015-03-26,4490,2015,3,26,목,False
2015-03-27,4486,2015,3,27,금,False
2015-03-28,14834,2015,3,28,토,True
2015-03-29,10851,2015,3,29,일,True
2015-03-30,700,2015,3,30,월,False
2015-03-31,5815,2015,3,31,화,False
2015-04-01,8173,2015,4,1,수,False
2015-04-02,7399,2015,4,2,목,False
2015-04-03,6716,2015,4,3,금,False
2015-04-04,15675,2015,4,4,토,True
2015-04-05,14807,2015,4,5,일,True
2015-04-06,29,2015,4,6,월,False
2015-04-07,3929,2015,4,7,화,False
2015-04-08,5812,2015,4,8,수,False
2015-04-09,5395,2015,4,9,목,False
2015-04-10,4558,2015,4,10,금,False
2015-04-11,10426,2015,4,11,토,True
2015-04-12,8566,2015,4,12,일,True
2015-04-13,26,2015,4,13,월,False
2015-04-14,7697,2015,4,14,화,False
2015-04-15,7675,2015,4,15,수,False
2015-04-16,9079,2015,4,16,목,False
2015-04-17,5691,2015,4,17,금,False
2015-04-18,9569,2015,4,18,토,True
2015-04-19,10328,2015,4,19,일,True
2015-04-20,75,2015,4,20,월,False
